Age;Job;Marital;Education;Default;Balance;Housing;Loan;Contact;Day;Month;Duration;Campaign;Pdays;Previous;Poutcome;Y
31;Unemployed;Single;Tertiary;No;1611;Yes;No;Unknown;23;May;154;2;-1;0;Unknown;No
34;Management;Married;Tertiary;No;498;Yes;No;Unknown;23;May;216;2;-1;0;Unknown;No
32;Admin;Married;Secondary;No;0;No;No;Unknown;23;May;206;3;-1;0;Unknown;No
26;Unemployed;Married;Tertiary;No;454;Yes;Yes;Unknown;23;May;28;18;-1;0;Unknown;No
39;Self-employed;Divorced;Secondary;No;0;Yes;No;Unknown;23;May;210;2;-1;0;Unknown;No
35;Admin;Divorced;Secondary;No;30;No;No;Unknown;23;May;186;1;-1;0;Unknown;No
35;Services;Single;Secondary;No;511;Yes;Yes;Unknown;23;May;472;1;-1;0;Unknown;No
32;Admin;Single;Secondary;No;127;Yes;No;Unknown;23;May;189;2;-1;0;Unknown;No
32;Services;Single;Secondary;No;1940;Yes;No;Unknown;23;May;215;2;-1;0;Unknown;No
30;Services;Married;Secondary;No;-108;Yes;No;Unknown;23;May;216;1;-1;0;Unknown;No
43;Admin;Divorced;Secondary;No;242;Yes;No;Unknown;23;May;174;1;-1;0;Unknown;No
29;Blue-collar;Single;Secondary;No;1012;Yes;No;Unknown;23;May;926;1;-1;0;Unknown;No
27;Admin;Married;Secondary;No;-393;Yes;Yes;Unknown;23;May;235;2;-1;0;Unknown;No
27;Services;Single;Secondary;No;430;Yes;No;Unknown;23;May;116;2;-1;0;Unknown;No
33;Blue-collar;Married;Secondary;No;-825;Yes;No;Unknown;23;May;228;2;-1;0;Unknown;No
29;Blue-collar;Married;Unknown;No;135;Yes;No;Unknown;23;May;150;6;-1;0;Unknown;No
28;Blue-collar;Single;Secondary;No;369;Yes;No;Unknown;23;May;411;3;-1;0;Unknown;No
32;Management;Married;Tertiary;No;1522;Yes;No;Unknown;23;May;302;3;-1;0;Unknown;No
30;Services;Married;Tertiary;No;523;Yes;No;Unknown;23;May;253;2;-1;0;Unknown;No
39;Services;Married;Secondary;No;104;Yes;No;Unknown;23;May;138;6;-1;0;Unknown;No
35;Management;Married;Tertiary;No;341;Yes;No;Unknown;23;May;824;2;-1;0;Unknown;No
49;Blue-collar;Married;Primary;No;3767;Yes;No;Unknown;23;May;493;13;-1;0;Unknown;No
32;Management;Married;Tertiary;No;1667;Yes;No;Unknown;23;May;345;3;-1;0;Unknown;No
35;Blue-collar;Married;Secondary;No;430;Yes;No;Unknown;23;May;147;50;-1;0;Unknown;No
37;Blue-collar;Married;Unknown;No;603;Yes;No;Unknown;23;May;773;2;-1;0;Unknown;No
45;Blue-collar;Married;Primary;No;0;No;No;Unknown;23;May;574;5;-1;0;Unknown;No
37;Blue-collar;Married;Primary;No;510;Yes;No;Unknown;23;May;122;6;-1;0;Unknown;No
40;Admin;Married;Secondary;No;0;Yes;No;Unknown;23;May;193;2;-1;0;Unknown;No
33;Technician;Married;Tertiary;No;17455;Yes;Yes;Unknown;23;May;343;4;-1;0;Unknown;No
36;Admin;Married;Secondary;No;176;Yes;No;Unknown;23;May;111;1;-1;0;Unknown;No
42;Blue-collar;Married;Secondary;No;139;Yes;No;Unknown;23;May;166;1;-1;0;Unknown;No
30;Management;Single;Tertiary;No;3625;Yes;No;Unknown;23;May;469;2;-1;0;Unknown;No
32;Management;Married;Tertiary;No;1651;Yes;No;Unknown;23;May;189;2;-1;0;Unknown;No
26;Services;Divorced;Secondary;No;74;Yes;No;Unknown;23;May;106;6;-1;0;Unknown;No
45;Blue-collar;Divorced;Primary;No;-311;Yes;No;Unknown;23;May;1030;1;-1;0;Unknown;Yes
35;Admin;Single;Secondary;No;-413;Yes;No;Unknown;23;May;178;1;-1;0;Unknown;No
39;Entrepreneur;Divorced;Secondary;No;1202;Yes;No;Unknown;23;May;364;2;-1;0;Unknown;No
33;Management;Married;Tertiary;No;321;Yes;No;Unknown;23;May;101;5;-1;0;Unknown;No
32;Technician;Married;Secondary;No;221;Yes;No;Unknown;23;May;224;4;-1;0;Unknown;No
27;Admin;Single;Tertiary;No;1996;Yes;No;Unknown;23;May;187;1;-1;0;Unknown;No
39;Technician;Divorced;Secondary;No;1222;Yes;No;Unknown;23;May;451;4;-1;0;Unknown;No
43;Entrepreneur;Married;Secondary;Yes;150;Yes;Yes;Unknown;23;May;226;2;-1;0;Unknown;No
31;Admin;Single;Tertiary;No;701;Yes;No;Unknown;23;May;301;2;-1;0;Unknown;No
50;Admin;Married;Secondary;No;0;Yes;Yes;Unknown;23;May;97;1;-1;0;Unknown;No
53;Admin;Married;Secondary;No;-375;Yes;No;Unknown;23;May;24;1;-1;0;Unknown;No
31;Services;Single;Secondary;No;6374;Yes;No;Unknown;23;May;922;2;-1;0;Unknown;No
36;Services;Married;Secondary;No;387;Yes;No;Unknown;23;May;232;1;-1;0;Unknown;No
45;Admin;Married;Secondary;No;149;Yes;No;Unknown;23;May;893;3;-1;0;Unknown;Yes
38;Blue-collar;Married;Primary;No;630;Yes;No;Unknown;23;May;201;3;-1;0;Unknown;No
31;Entrepreneur;Single;Tertiary;No;150;Yes;No;Unknown;23;May;83;2;-1;0;Unknown;No
31;Blue-collar;Single;Secondary;No;1358;Yes;Yes;Unknown;23;May;339;2;-1;0;Unknown;No
36;Admin;Married;Secondary;No;614;Yes;No;Unknown;23;May;13;5;-1;0;Unknown;No
40;Services;Married;Secondary;No;-212;Yes;Yes;Unknown;23;May;54;1;-1;0;Unknown;No
30;Technician;Married;Secondary;No;590;Yes;No;Unknown;23;May;242;3;-1;0;Unknown;No
35;Management;Married;Tertiary;No;8;Yes;No;Unknown;23;May;55;4;-1;0;Unknown;No
42;Admin;Divorced;Secondary;No;687;Yes;Yes;Unknown;23;May;229;1;-1;0;Unknown;No
45;Blue-collar;Married;Secondary;No;61;Yes;Yes;Unknown;23;May;208;1;-1;0;Unknown;No
41;Technician;Married;Tertiary;No;-210;Yes;Yes;Unknown;23;May;210;1;-1;0;Unknown;No
33;Blue-collar;Married;Secondary;No;1541;Yes;No;Unknown;23;May;423;2;-1;0;Unknown;No
32;Blue-collar;Single;Secondary;No;1342;Yes;No;Unknown;23;May;109;2;-1;0;Unknown;No
32;Self-employed;Single;Secondary;No;4;Yes;No;Unknown;23;May;233;2;-1;0;Unknown;No
30;Management;Single;Tertiary;No;501;Yes;No;Unknown;23;May;209;3;-1;0;Unknown;No
34;Blue-collar;Single;Secondary;No;128;Yes;No;Unknown;23;May;114;4;-1;0;Unknown;No
33;Blue-collar;Married;Secondary;No;1464;Yes;No;Unknown;23;May;588;3;-1;0;Unknown;Yes
30;Management;Single;Tertiary;No;6;Yes;No;Unknown;23;May;274;2;-1;0;Unknown;No
34;Blue-collar;Single;Secondary;Yes;-369;Yes;No;Unknown;23;May;353;2;-1;0;Unknown;No
38;Blue-collar;Single;Primary;No;1375;Yes;No;Unknown;23;May;83;3;-1;0;Unknown;No
36;Technician;Divorced;Tertiary;No;0;No;No;Unknown;23;May;539;2;-1;0;Unknown;No
34;Technician;Married;Unknown;No;4053;Yes;No;Unknown;23;May;123;2;-1;0;Unknown;No
24;Blue-collar;Single;Secondary;No;-286;Yes;No;Unknown;23;May;327;2;-1;0;Unknown;No
30;Self-employed;Single;Tertiary;No;253;Yes;No;Unknown;23;May;167;4;-1;0;Unknown;No
34;Blue-collar;Married;Primary;No;157;Yes;No;Unknown;23;May;20;17;-1;0;Unknown;No
39;Services;Married;Primary;No;1951;Yes;No;Unknown;23;May;208;2;-1;0;Unknown;No
36;Blue-collar;Single;Primary;No;4519;Yes;No;Unknown;23;May;117;2;-1;0;Unknown;No
33;Blue-collar;Married;Secondary;No;1134;Yes;No;Unknown;23;May;304;2;-1;0;Unknown;No
31;Technician;Single;Tertiary;No;426;Yes;No;Unknown;23;May;82;7;-1;0;Unknown;No
43;Admin;Single;Secondary;No;-495;Yes;Yes;Unknown;23;May;131;1;-1;0;Unknown;No
34;Admin;Married;Secondary;No;1049;Yes;No;Unknown;23;May;25;14;-1;0;Unknown;No
33;Blue-collar;Married;Secondary;No;463;Yes;No;Unknown;23;May;76;4;-1;0;Unknown;No
33;Blue-collar;Divorced;Secondary;No;3546;Yes;No;Unknown;23;May;777;2;-1;0;Unknown;Yes
53;Self-employed;Married;Secondary;No;1;Yes;Yes;Unknown;23;May;178;1;-1;0;Unknown;No
54;Blue-collar;Married;Primary;No;-239;Yes;No;Unknown;23;May;29;1;-1;0;Unknown;No
31;Entrepreneur;Single;Tertiary;No;1340;Yes;No;Unknown;23;May;199;2;-1;0;Unknown;No
46;Technician;Divorced;Secondary;No;772;Yes;No;Unknown;23;May;488;1;-1;0;Unknown;No
54;Blue-collar;Married;Secondary;No;-630;No;No;Unknown;23;May;173;1;-1;0;Unknown;No
37;Technician;Married;Secondary;No;507;Yes;Yes;Unknown;23;May;157;1;-1;0;Unknown;No
32;Blue-collar;Married;Secondary;No;736;Yes;No;Unknown;23;May;700;3;-1;0;Unknown;No
40;Blue-collar;Married;Secondary;No;395;Yes;Yes;Unknown;23;May;281;1;-1;0;Unknown;No
60;Services;Married;Secondary;No;-46;No;No;Unknown;23;May;132;2;-1;0;Unknown;No
33;Management;Single;Tertiary;No;2599;Yes;No;Unknown;23;May;328;3;-1;0;Unknown;No
35;Blue-collar;Married;Secondary;No;-461;No;No;Unknown;23;May;339;1;-1;0;Unknown;No
33;Blue-collar;Married;Secondary;No;0;No;No;Unknown;23;May;211;3;-1;0;Unknown;No
39;Technician;Married;Secondary;No;3643;Yes;No;Unknown;23;May;160;3;-1;0;Unknown;No
58;Retired;Married;Primary;No;0;Yes;No;Unknown;23;May;138;6;-1;0;Unknown;No
43;Blue-collar;Married;Secondary;No;-141;Yes;Yes;Unknown;23;May;128;1;-1;0;Unknown;No
38;Blue-collar;Married;Secondary;No;526;Yes;Yes;Unknown;23;May;553;2;-1;0;Unknown;No
49;Blue-collar;Married;Primary;No;23;Yes;No;Unknown;23;May;247;1;-1;0;Unknown;No
35;Management;Married;Secondary;No;839;Yes;No;Unknown;23;May;50;3;-1;0;Unknown;No
53;Blue-collar;Married;Primary;No;-1455;Yes;No;Unknown;23;May;169;2;-1;0;Unknown;No
40;Services;Single;Secondary;Yes;-306;Yes;No;Unknown;23;May;253;1;-1;0;Unknown;No
36;Blue-collar;Married;Primary;No;655;Yes;No;Unknown;23;May;153;4;-1;0;Unknown;No
42;Admin;Single;Tertiary;No;3465;Yes;No;Unknown;23;May;373;9;-1;0;Unknown;No
36;Management;Single;Tertiary;No;876;Yes;No;Unknown;23;May;241;2;-1;0;Unknown;No
35;Blue-collar;Married;Secondary;No;154;Yes;No;Unknown;23;May;211;4;-1;0;Unknown;No
33;Management;Married;Secondary;No;67;Yes;Yes;Unknown;23;May;316;4;-1;0;Unknown;No
37;Management;Married;Tertiary;No;5205;Yes;No;Unknown;23;May;493;2;-1;0;Unknown;No
44;Management;Divorced;Tertiary;No;5773;No;No;Unknown;23;May;597;6;-1;0;Unknown;Yes
35;Technician;Married;Secondary;No;0;Yes;Yes;Unknown;23;May;107;2;-1;0;Unknown;No
36;Services;Married;Secondary;No;1694;Yes;Yes;Unknown;23;May;164;6;-1;0;Unknown;No
31;Self-employed;Married;Primary;No;1074;Yes;No;Unknown;23;May;1438;2;-1;0;Unknown;No
40;Blue-collar;Married;Primary;No;278;Yes;No;Unknown;23;May;1015;3;-1;0;Unknown;Yes
38;Blue-collar;Married;Secondary;No;1102;Yes;No;Unknown;23;May;159;3;-1;0;Unknown;No
46;Blue-collar;Married;Secondary;No;0;Yes;No;Unknown;23;May;172;3;-1;0;Unknown;No
29;Management;Single;Tertiary;No;0;Yes;No;Unknown;23;May;331;2;-1;0;Unknown;No
33;Blue-collar;Married;Secondary;No;-346;Yes;Yes;Unknown;23;May;29;3;-1;0;Unknown;No
32;Technician;Married;Tertiary;No;415;No;No;Unknown;23;May;76;2;-1;0;Unknown;No
48;Management;Divorced;Tertiary;No;851;No;Yes;Unknown;23;May;937;3;-1;0;Unknown;No
32;Technician;Married;Secondary;No;1247;Yes;No;Unknown;23;May;154;3;-1;0;Unknown;No
35;Admin;Single;Secondary;No;91;Yes;No;Unknown;23;May;185;4;-1;0;Unknown;No
32;Admin;Married;Tertiary;No;882;No;No;Unknown;23;May;569;3;-1;0;Unknown;No
42;Blue-collar;Married;Secondary;No;165;Yes;No;Unknown;23;May;333;2;-1;0;Unknown;No
32;Management;Married;Tertiary;No;1501;Yes;No;Unknown;23;May;70;6;-1;0;Unknown;No
35;Technician;Single;Tertiary;No;1529;No;No;Unknown;23;May;95;4;-1;0;Unknown;No
39;Blue-collar;Married;Secondary;No;293;Yes;No;Unknown;23;May;160;3;-1;0;Unknown;No
30;Technician;Single;Secondary;No;1572;Yes;Yes;Unknown;23;May;209;3;-1;0;Unknown;No
30;Student;Single;Tertiary;No;-679;Yes;No;Unknown;23;May;372;3;-1;0;Unknown;No
32;Admin;Married;Secondary;No;497;Yes;No;Unknown;23;May;92;3;-1;0;Unknown;No
28;Blue-collar;Single;Secondary;No;-303;Yes;No;Unknown;23;May;277;2;-1;0;Unknown;No
30;Blue-collar;Married;Primary;No;9194;Yes;No;Unknown;23;May;178;2;-1;0;Unknown;No
44;Blue-collar;Single;Primary;No;97;Yes;No;Unknown;23;May;95;14;-1;0;Unknown;No
34;Services;Married;Secondary;No;70;Yes;Yes;Unknown;23;May;138;4;-1;0;Unknown;No
38;Admin;Married;Secondary;No;1839;No;No;Unknown;23;May;63;2;-1;0;Unknown;No
27;Admin;Single;Secondary;No;1492;Yes;No;Unknown;23;May;67;13;-1;0;Unknown;No
31;Management;Single;Tertiary;No;357;Yes;No;Unknown;23;May;77;3;-1;0;Unknown;No
37;Admin;Single;Secondary;No;192;Yes;No;Unknown;23;May;105;2;-1;0;Unknown;No
45;Admin;Divorced;Secondary;No;875;Yes;Yes;Unknown;23;May;292;2;-1;0;Unknown;No
33;Management;Married;Tertiary;No;0;Yes;No;Unknown;23;May;57;5;-1;0;Unknown;No
39;Admin;Married;Secondary;No;-288;No;No;Unknown;23;May;151;9;-1;0;Unknown;No
32;Admin;Single;Secondary;No;1581;No;No;Unknown;23;May;331;3;-1;0;Unknown;No
31;Blue-collar;Married;Secondary;No;2910;Yes;No;Unknown;23;May;1392;2;-1;0;Unknown;Yes
38;Technician;Single;Secondary;No;372;No;No;Unknown;23;May;59;3;-1;0;Unknown;No
32;Self-employed;Married;Tertiary;No;9;Yes;No;Unknown;23;May;98;2;-1;0;Unknown;No
32;Blue-collar;Married;Secondary;No;1780;Yes;No;Unknown;23;May;100;4;-1;0;Unknown;No
33;Blue-collar;Married;Primary;No;2665;Yes;No;Unknown;23;May;358;2;-1;0;Unknown;No
49;Blue-collar;Married;Secondary;No;188;Yes;No;Unknown;23;May;181;16;-1;0;Unknown;No
32;Admin;Married;Secondary;No;506;Yes;No;Unknown;23;May;188;6;-1;0;Unknown;No
32;Blue-collar;Married;Secondary;No;38;Yes;No;Unknown;23;May;368;5;-1;0;Unknown;No
31;Services;Married;Secondary;No;-331;Yes;No;Unknown;23;May;203;5;-1;0;Unknown;No
39;Self-employed;Married;Secondary;No;31;Yes;No;Unknown;23;May;146;4;-1;0;Unknown;No
37;Services;Married;Secondary;No;-21;Yes;Yes;Unknown;23;May;61;2;-1;0;Unknown;No
33;Entrepreneur;Married;Secondary;No;1847;Yes;No;Unknown;23;May;129;6;-1;0;Unknown;No
35;Blue-collar;Married;Primary;No;208;Yes;No;Unknown;23;May;247;3;-1;0;Unknown;No
37;Blue-collar;Married;Primary;No;5;Yes;No;Unknown;23;May;266;2;-1;0;Unknown;No
31;Blue-collar;Married;Primary;No;-848;Yes;No;Unknown;23;May;559;3;-1;0;Unknown;No
35;Management;Married;Tertiary;No;317;Yes;No;Unknown;23;May;162;3;-1;0;Unknown;No
38;Management;Married;Tertiary;No;5779;Yes;No;Unknown;23;May;75;3;-1;0;Unknown;No
31;Blue-collar;Married;Secondary;No;489;Yes;No;Unknown;23;May;204;4;-1;0;Unknown;No
30;Blue-collar;Single;Secondary;Yes;4;Yes;No;Unknown;23;May;84;3;-1;0;Unknown;No
31;Blue-collar;Married;Secondary;No;631;Yes;No;Unknown;23;May;248;4;-1;0;Unknown;No
44;Admin;Married;Secondary;No;0;Yes;No;Unknown;23;May;82;2;-1;0;Unknown;No
51;Admin;Married;Secondary;No;3;No;Yes;Unknown;23;May;259;2;-1;0;Unknown;No
31;Blue-collar;Single;Tertiary;No;2197;Yes;No;Unknown;23;May;146;3;-1;0;Unknown;No
35;Management;Divorced;Tertiary;No;178;Yes;No;Unknown;23;May;703;2;-1;0;Unknown;No
34;Blue-collar;Married;Primary;No;358;Yes;No;Unknown;23;May;100;4;-1;0;Unknown;No
32;Blue-collar;Married;Secondary;No;3144;Yes;No;Unknown;23;May;348;2;-1;0;Unknown;No
31;Services;Married;Secondary;No;309;Yes;No;Unknown;23;May;146;6;-1;0;Unknown;No
34;Blue-collar;Married;Unknown;No;391;Yes;Yes;Unknown;23;May;34;2;-1;0;Unknown;No
32;Blue-collar;Married;Primary;No;1903;Yes;No;Unknown;23;May;297;3;-1;0;Unknown;No
50;Entrepreneur;Married;Tertiary;No;1605;Yes;No;Unknown;23;May;22;2;-1;0;Unknown;No
36;Blue-collar;Married;Secondary;No;141;Yes;No;Unknown;23;May;106;3;-1;0;Unknown;No
58;Retired;Married;Secondary;No;-205;Yes;No;Unknown;23;May;253;2;-1;0;Unknown;No
30;Blue-collar;Married;Secondary;No;2150;Yes;No;Unknown;23;May;465;4;-1;0;Unknown;No
36;Blue-collar;Married;Primary;No;111;Yes;No;Unknown;23;May;163;3;-1;0;Unknown;No
31;Unemployed;Married;Secondary;No;57;Yes;Yes;Unknown;23;May;104;5;-1;0;Unknown;No
37;Technician;Single;Tertiary;No;876;Yes;No;Unknown;23;May;213;4;-1;0;Unknown;No
33;Blue-collar;Married;Secondary;Yes;2;No;No;Unknown;23;May;74;4;-1;0;Unknown;No
31;Blue-collar;Married;Unknown;No;-357;Yes;No;Unknown;23;May;245;4;-1;0;Unknown;No
37;Blue-collar;Married;Secondary;No;13849;Yes;No;Unknown;23;May;252;5;-1;0;Unknown;No
37;Entrepreneur;Married;Tertiary;No;0;No;No;Unknown;23;May;118;3;-1;0;Unknown;No
40;Technician;Married;Secondary;No;5517;Yes;No;Unknown;23;May;146;13;-1;0;Unknown;No
58;Blue-collar;Married;Unknown;No;5505;Yes;No;Unknown;23;May;317;4;-1;0;Unknown;No
46;Blue-collar;Married;Secondary;No;4707;Yes;No;Unknown;23;May;93;8;-1;0;Unknown;No
32;Blue-collar;Married;Secondary;No;523;Yes;No;Unknown;23;May;116;5;-1;0;Unknown;No
26;Technician;Single;Secondary;Yes;-516;Yes;No;Unknown;23;May;386;2;-1;0;Unknown;No
49;Self-employed;Married;Secondary;No;1878;Yes;Yes;Unknown;23;May;283;11;-1;0;Unknown;No
30;Admin;Single;Tertiary;No;253;Yes;No;Unknown;23;May;146;4;-1;0;Unknown;No
33;Management;Divorced;Tertiary;No;471;No;No;Unknown;23;May;215;4;-1;0;Unknown;No
44;Blue-collar;Married;Primary;No;-315;Yes;No;Unknown;23;May;90;3;-1;0;Unknown;No
34;Management;Married;Secondary;No;240;Yes;No;Unknown;23;May;260;3;-1;0;Unknown;No
31;Admin;Married;Secondary;No;1098;Yes;No;Unknown;23;May;427;2;-1;0;Unknown;No
26;Technician;Single;Secondary;No;-211;Yes;No;Unknown;23;May;164;3;-1;0;Unknown;No
31;Management;Single;Tertiary;No;9874;Yes;No;Unknown;23;May;1222;5;-1;0;Unknown;No
29;Services;Single;Secondary;No;1008;Yes;No;Unknown;23;May;426;9;-1;0;Unknown;No
36;Admin;Married;Secondary;No;165;Yes;No;Unknown;23;May;456;4;-1;0;Unknown;No
52;Blue-collar;Married;Secondary;No;3622;Yes;Yes;Unknown;23;May;40;7;-1;0;Unknown;No
31;Blue-collar;Married;Unknown;No;92;Yes;No;Unknown;23;May;98;17;-1;0;Unknown;No
53;Admin;Married;Secondary;No;7598;Yes;No;Unknown;23;May;27;7;-1;0;Unknown;No
35;Blue-collar;Married;Secondary;No;0;Yes;No;Unknown;23;May;100;4;-1;0;Unknown;No
46;Admin;Married;Secondary;No;-143;Yes;No;Unknown;23;May;1034;9;-1;0;Unknown;No
39;Management;Married;Tertiary;No;540;Yes;Yes;Unknown;23;May;1066;2;-1;0;Unknown;No
31;Blue-collar;Married;Secondary;No;1495;Yes;Yes;Unknown;23;May;159;3;-1;0;Unknown;No
38;Admin;Married;Secondary;No;0;Yes;No;Unknown;23;May;353;2;-1;0;Unknown;No
53;Blue-collar;Married;Primary;No;3316;Yes;No;Unknown;23;May;331;6;-1;0;Unknown;No
27;Admin;Married;Secondary;No;3;Yes;No;Unknown;23;May;159;5;-1;0;Unknown;No
34;Student;Married;Tertiary;No;387;Yes;No;Unknown;26;May;52;3;-1;0;Unknown;No
40;Services;Married;Primary;No;33;No;No;Unknown;26;May;70;3;-1;0;Unknown;No
37;Blue-collar;Married;Secondary;No;152;Yes;No;Unknown;26;May;159;3;-1;0;Unknown;No
32;Admin;Married;Secondary;No;41;Yes;Yes;Unknown;26;May;117;2;-1;0;Unknown;No
60;Retired;Divorced;Secondary;No;1718;Yes;No;Unknown;26;May;146;6;-1;0;Unknown;No
49;Technician;Married;Unknown;No;-287;Yes;No;Unknown;26;May;49;1;-1;0;Unknown;No
30;Management;Single;Tertiary;No;2317;Yes;No;Unknown;26;May;260;5;-1;0;Unknown;No
41;Management;Divorced;Secondary;No;71;Yes;No;Unknown;26;May;60;3;-1;0;Unknown;No
38;Technician;Single;Secondary;No;283;Yes;No;Unknown;26;May;193;1;-1;0;Unknown;No
44;Services;Married;Secondary;No;-627;Yes;No;Unknown;26;May;373;2;-1;0;Unknown;No
56;Blue-collar;Divorced;Primary;No;-216;Yes;No;Unknown;26;May;336;1;-1;0;Unknown;No
49;Admin;Divorced;Primary;No;-347;Yes;No;Unknown;26;May;200;2;-1;0;Unknown;No
50;Technician;Married;Tertiary;No;199;Yes;Yes;Unknown;26;May;79;1;-1;0;Unknown;No
31;Services;Single;Secondary;No;31;Yes;Yes;Unknown;26;May;501;2;-1;0;Unknown;No
52;Admin;Divorced;Secondary;No;0;Yes;No;Unknown;26;May;206;1;-1;0;Unknown;No
58;Retired;Married;Secondary;No;674;Yes;No;Unknown;26;May;80;1;-1;0;Unknown;No
37;Technician;Married;Secondary;No;-796;Yes;Yes;Unknown;26;May;299;1;-1;0;Unknown;No
43;Blue-collar;Married;Secondary;No;470;Yes;Yes;Unknown;26;May;185;1;-1;0;Unknown;No
47;Services;Married;Secondary;No;4063;Yes;Yes;Unknown;26;May;207;1;-1;0;Unknown;No
53;Admin;Divorced;Secondary;No;-372;Yes;No;Unknown;26;May;104;1;-1;0;Unknown;No
32;Blue-collar;Married;Primary;No;1156;Yes;No;Unknown;26;May;185;5;-1;0;Unknown;No
37;Technician;Married;Secondary;Yes;-886;Yes;No;Unknown;26;May;224;1;-1;0;Unknown;No
42;Technician;Married;Secondary;No;-245;No;Yes;Unknown;26;May;63;1;-1;0;Unknown;No
33;Unemployed;Single;Tertiary;No;157;Yes;No;Unknown;26;May;897;5;-1;0;Unknown;No
37;Services;Single;Secondary;No;510;Yes;No;Unknown;26;May;322;1;-1;0;Unknown;No
40;Blue-collar;Divorced;Secondary;No;-426;No;Yes;Unknown;26;May;245;1;-1;0;Unknown;No
34;Blue-collar;Married;Secondary;No;-436;Yes;No;Unknown;26;May;317;1;-1;0;Unknown;No
41;Blue-collar;Divorced;Primary;No;320;Yes;No;Unknown;26;May;511;1;-1;0;Unknown;No
59;Retired;Married;Secondary;No;0;No;Yes;Unknown;26;May;155;1;-1;0;Unknown;No
30;Technician;Married;Tertiary;No;541;Yes;No;Unknown;26;May;414;2;-1;0;Unknown;Yes
32;Technician;Married;Secondary;No;1337;No;No;Unknown;26;May;368;6;-1;0;Unknown;No
42;Technician;Divorced;Secondary;No;-280;Yes;No;Unknown;26;May;258;1;-1;0;Unknown;No
36;Services;Married;Secondary;No;247;Yes;No;Unknown;26;May;247;1;-1;0;Unknown;No
44;Technician;Married;Primary;No;-1379;Yes;Yes;Unknown;26;May;140;1;-1;0;Unknown;No
49;Blue-collar;Married;Primary;No;383;Yes;Yes;Unknown;26;May;31;1;-1;0;Unknown;No
56;Blue-collar;Married;Primary;No;-85;Yes;Yes;Unknown;26;May;118;1;-1;0;Unknown;No
43;Entrepreneur;Single;Tertiary;No;0;Yes;No;Unknown;26;May;142;3;-1;0;Unknown;No
50;Services;Married;Secondary;No;683;Yes;Yes;Unknown;26;May;129;3;-1;0;Unknown;No
58;Retired;Married;Secondary;No;295;Yes;Yes;Unknown;26;May;136;2;-1;0;Unknown;No
43;Services;Married;Secondary;No;978;Yes;Yes;Unknown;26;May;82;2;-1;0;Unknown;No
33;Admin;Married;Secondary;No;105;Yes;No;Unknown;26;May;122;4;-1;0;Unknown;No
34;Blue-collar;Married;Primary;No;503;Yes;No;Unknown;26;May;120;2;-1;0;Unknown;No
36;Technician;Married;Secondary;No;-8;Yes;No;Unknown;26;May;180;2;-1;0;Unknown;No
59;Admin;Married;Secondary;No;-396;Yes;No;Unknown;26;May;204;1;-1;0;Unknown;No
46;Admin;Divorced;Secondary;No;-454;Yes;No;Unknown;26;May;120;1;-1;0;Unknown;No
51;Blue-collar;Divorced;Primary;No;-380;Yes;No;Unknown;26;May;181;1;-1;0;Unknown;No
35;Blue-collar;Married;Secondary;No;1098;Yes;No;Unknown;26;May;19;17;-1;0;Unknown;No
37;Admin;Single;Secondary;No;155;Yes;No;Unknown;26;May;460;1;-1;0;Unknown;No
44;Blue-collar;Married;Secondary;No;-54;Yes;Yes;Unknown;26;May;437;1;-1;0;Unknown;No
48;Admin;Divorced;Secondary;No;238;Yes;No;Unknown;26;May;76;2;-1;0;Unknown;No
44;Technician;Divorced;Secondary;No;106;Yes;No;Unknown;26;May;95;1;-1;0;Unknown;No
30;Blue-collar;Married;Secondary;No;0;Yes;No;Unknown;26;May;30;1;-1;0;Unknown;No
35;Unknown;Divorced;Primary;No;3888;No;No;Unknown;26;May;422;5;-1;0;Unknown;No
42;Admin;Single;Unknown;No;-138;Yes;No;Unknown;26;May;109;1;-1;0;Unknown;No
46;Blue-collar;Married;Secondary;No;1728;Yes;No;Unknown;26;May;50;2;-1;0;Unknown;No
50;Admin;Single;Secondary;No;1651;Yes;No;Unknown;26;May;41;2;-1;0;Unknown;No
37;Services;Married;Primary;No;0;Yes;No;Unknown;26;May;581;1;-1;0;Unknown;No
56;Technician;Married;Secondary;No;463;No;No;Unknown;26;May;131;2;-1;0;Unknown;No
54;Blue-collar;Married;Unknown;No;-361;Yes;No;Unknown;26;May;227;1;-1;0;Unknown;No
33;Services;Single;Secondary;No;-27;Yes;No;Unknown;26;May;165;1;-1;0;Unknown;No
36;Admin;Married;Secondary;No;0;No;No;Unknown;26;May;80;1;-1;0;Unknown;No
39;Blue-collar;Married;Unknown;No;0;Yes;No;Unknown;26;May;470;1;-1;0;Unknown;No
35;Blue-collar;Married;Primary;No;-239;Yes;No;Unknown;26;May;281;1;-1;0;Unknown;No
25;Self-employed;Married;Tertiary;No;1182;Yes;No;Unknown;26;May;141;2;-1;0;Unknown;No
37;Blue-collar;Married;Primary;No;0;Yes;No;Unknown;26;May;24;1;-1;0;Unknown;No
44;Technician;Divorced;Secondary;No;1262;Yes;No;Unknown;26;May;788;11;-1;0;Unknown;Yes
37;Technician;Single;Secondary;No;435;Yes;No;Unknown;26;May;210;1;-1;0;Unknown;No
29;Student;Married;Tertiary;No;149;Yes;No;Unknown;26;May;367;4;-1;0;Unknown;No
